,T, mu, mu_n, IS_Estimate, IS_Variance, CI, Time
70,0.5,0.08,8,9.331802e-05,3.836772e-08,3.839115e-06, 0:04:39.595646
71,1.0,0.08,8,0.006617864,0.0001333269,0.0002263116, 0:04:30.827287
72,1.5,0.08,8,0.04816743,0.004835841,0.001362963, 0:04:32.719966
73,2.0,0.08,8,0.1405999,0.02819001,0.003290756, 0:04:33.196477
74,2.5,0.08,8,0.2525416,0.0650921,0.005000486, 0:04:31.798247
75,3.0,0.08,8,0.3383464,0.09968839,0.006188286, 0:04:37.359344
76,3.5,0.08,8,0.3742428,0.1500445,0.007592034, 0:04:34.155462
77,4.0,0.08,8,0.3628328,0.2538167,0.009874342, 0:04:30.888253
78,4.5,0.08,8,0.3197212,0.433861,0.01290992, 0:04:41.678236
79,5.0,0.08,8,0.2608975,0.6449627,0.01574039, 0:04:39.300772
80,0.5,0.09,9,1.510917e-05,1.059656e-09,6.380145e-07, 0:05:03.020839
81,1.0,0.09,9,0.002042387,1.428349e-05,7.407391e-05, 0:05:09.033854
82,1.5,0.09,9,0.02119286,0.001118687,0.0006555449, 0:04:52.307690
83,2.0,0.09,9,0.07813546,0.01089733,0.002046012, 0:05:09.475594
84,2.5,0.09,9,0.1658064,0.03522104,0.003678317, 0:04:59.576239
85,3.0,0.09,9,0.2511633,0.06160914,0.004864863, 0:04:55.021042
86,3.5,0.09,9,0.3047456,0.08387611,0.005676325, 0:05:01.416533
87,4.0,0.09,9,0.3172613,0.1177921,0.006726764, 0:04:59.116075
88,4.5,0.09,9,0.2957162,0.180618,0.008329685, 0:04:56.622263
89,5.0,0.09,9,0.2533907,0.2684553,0.0101551, 0:04:53.026133
90,0.5,0.11,11,2.650635e-07,3.834789e-13,1.213721e-08, 0:05:41.674638
91,1.0,0.11,11,0.000137095,7.884542e-08,5.503467e-06, 0:05:37.138509
92,1.5,0.11,11,0.003031964,2.965345e-05,0.0001067298, 0:05:28.384402
93,2.0,0.11,11,0.01863409,0.0008586105,0.0005743098, 0:05:37.988979
94,2.5,0.11,11,0.05726937,0.006188987,0.001541906, 0:05:31.647953
95,3.0,0.11,11,0.1145015,0.018946,0.002697782, 0:05:43.807492
96,3.5,0.11,11,0.1714149,0.03340078,0.003582007, 0:05:28.964913
97,4.0,0.11,11,0.2091848,0.04261473,0.004046019, 0:05:30.471923
98,4.5,0.11,11,0.2198395,0.04835875,0.004310083, 0:05:35.350889
99,5.0,0.11,11,0.2063047,0.05625242,0.004648563, 0:05:33.948216
100,0.5,0.12,12,3.052242e-08,5.515162e-15,1.45555e-09, 0:05:49.097053
101,1.0,0.12,12,3.084211e-05,4.41162e-09,1.301809e-06, 0:05:47.140654
102,1.5,0.12,12,0.0009975674,3.621375e-06,3.729794e-05, 0:05:55.933261
103,2.0,0.12,12,0.007952829,0.0001802175,0.0002631156, 0:05:53.238691
