,n_MC,n,T,mu,mu_n,IS_Estimate,IS_Variance,CI
90,10000,100,0.5,0.11,11,2.650635e-07,3.834789e-13,1.213721e-08
91,10000,100,1.0,0.11,11,0.000137095,7.884542e-08,5.503467e-06
92,10000,100,1.5,0.11,11,0.003031964,2.965345e-05,0.0001067298
93,10000,100,2.0,0.11,11,0.01863409,0.0008586105,0.0005743098
94,10000,100,2.5,0.11,11,0.05726937,0.006188987,0.001541906
95,10000,100,3.0,0.11,11,0.1145015,0.018946,0.002697782
96,10000,100,3.5,0.11,11,0.1714149,0.03340078,0.003582007
97,10000,100,4.0,0.11,11,0.2091848,0.04261473,0.004046019
98,10000,100,4.5,0.11,11,0.2198395,0.04835875,0.004310083
99,10000,100,5.0,0.11,11,0.2063047,0.05625242,0.004648563
100,10000,100,0.5,0.12,12,3.052242e-08,5.515162e-15,1.45555e-09
101,10000,100,1.0,0.12,12,3.084211e-05,4.41162e-09,1.301809e-06
102,10000,100,1.5,0.12,12,0.0009975674,3.621375e-06,3.729794e-05
103,10000,100,2.0,0.12,12,0.007952829,0.0001802175,0.0002631156
104,10000,100,2.5,0.12,12,0.02966044,0.0019558,0.0008667828
105,10000,100,3.0,0.12,12,0.06889404,0.008210998,0.001776013
106,10000,100,3.5,0.12,12,0.1162386,0.01833862,0.002654186
107,10000,100,4.0,0.12,12,0.1561392,0.02695765,0.003218023
108,10000,100,4.5,0.12,12,0.177472,0.03134852,0.003470217
109,10000,100,5.0,0.12,12,0.1777443,0.03418168,0.003623638
110,10000,100,0.5,0.13,13,3.30257e-09,6.865024e-17,1.623937e-10
111,10000,100,1.0,0.13,13,6.524238e-06,2.143313e-10,2.869399e-07
112,10000,100,1.5,0.13,13,0.0003091483,3.854962e-07,1.216909e-05
113,10000,100,2.0,0.13,13,0.00320405,3.312221e-05,0.0001127996
114,10000,100,2.5,0.13,13,0.0145341,0.0005435455,0.0004569472
115,10000,100,3.0,0.13,13,0.03934575,0.003166167,0.001102846
116,10000,100,3.5,0.13,13,0.07494613,0.009143806,0.001874181
117,10000,100,4.0,0.13,13,0.1109977,0.01619487,0.002494232
118,10000,100,4.5,0.13,13,0.1363888,0.02068097,0.0028186
119,10000,100,5.0,0.13,13,0.1451667,0.02186942,0.002898456
120,10000,100,0.5,0.14,14,3.15257e-11,6.992958e-21,1.638999e-12
121,10000,100,1.0,0.14,14,2.395069e-07,3.316044e-13,1.128647e-08
122,10000,100,1.5,0.14,14,2.44897e-05,2.859683e-09,1.04811e-06
123,10000,100,2.0,0.14,14,0.000431697,7.34687e-07,1.679961e-05
124,10000,100,2.5,0.14,14,0.00291806,2.777287e-05,0.00010329
125,10000,100,3.0,0.14,14,0.01080317,0.0003147871,0.0003477415
126,10000,100,3.5,0.14,14,0.02651165,0.001565692,0.0007755347
127,10000,100,4.0,0.14,14,0.04831862,0.004304414,0.001285894
128,10000,100,4.5,0.14,14,0.07042596,0.007633664,0.001712437
129,10000,100,5.0,0.14,14,0.08637027,0.009815978,0.001941846
130,10000,100,0.5,0.15,15,3.15257e-11,6.992958e-21,1.638999e-12
131,10000,100,1.0,0.15,15,2.395069e-07,3.316044e-13,1.128647e-08
132,10000,100,1.5,0.15,15,2.44897e-05,2.859683e-09,1.04811e-06
133,10000,100,2.0,0.15,15,0.000431697,7.34687e-07,1.679961e-05
134,10000,100,2.5,0.15,15,0.00291806,2.777287e-05,0.00010329
135,10000,100,3.0,0.15,15,0.01080317,0.0003147871,0.0003477415
136,10000,100,3.5,0.15,15,0.02651165,0.001565692,0.0007755347
137,10000,100,4.0,0.15,15,0.04831862,0.004304414,0.001285894
138,10000,100,4.5,0.15,15,0.07042596,0.007633664,0.001712437
139,10000,100,5.0,0.15,15,0.08637027,0.009815978,0.001941846
140,10000,100,0.5,0.16,16,2.758944e-12,5.616258e-23,1.46883e-13
141,10000,100,1.0,0.16,16,4.119708e-08,1.041918e-14,2.000621e-09
142,10000,100,1.5,0.16,16,6.198667e-06,1.972042e-10,2.752366e-07
143,10000,100,2.0,0.16,16,0.0001427295,8.769734e-08,5.804186e-06
144,10000,100,2.5,0.16,16,0.001180902,5.043518e-06,4.401644e-05
145,10000,100,3.0,0.16,16,0.00512735,7.981276e-05,0.0001750992
146,10000,100,3.5,0.16,16,0.01432115,0.0005223104,0.0004479323
147,10000,100,4.0,0.16,16,0.02904282,0.001800123,0.0008315706
148,10000,100,4.5,0.16,16,0.04632721,0.003853221,0.001216634
149,10000,100,5.0,0.16,16,0.06127762,0.005730371,0.001483677
150,10000,100,0.5,0.17,17,2.283175e-13,4.033399e-25,1.244754e-14
151,10000,100,1.0,0.17,17,6.700512e-09,2.914099e-16,3.345802e-10
152,10000,100,1.5,0.17,17,1.484751e-06,1.206685e-11,6.808399e-08
153,10000,100,2.0,0.17,17,4.477141e-05,9.293186e-09,1.889428e-06
154,10000,100,2.5,0.17,17,0.0004537819,8.109159e-07,1.764965e-05
155,10000,100,3.0,0.17,17,0.0023174,1.799113e-05,8.313374e-05
156,10000,100,3.5,0.17,17,0.007391674,0.0001558494,0.0002446812
157,10000,100,4.0,0.17,17,0.01674584,0.0006810878,0.0005115047
158,10000,100,4.5,0.17,17,0.02930422,0.001781476,0.0008272524
159,10000,100,5.0,0.17,17,0.04193327,0.003132519,0.00109697
160,10000,100,0.5,0.18,18,1.820997e-14,2.681457e-27,1.014924e-15
161,10000,100,1.0,0.18,18,1.049947e-09,7.5627e-18,5.389972e-11
162,10000,100,1.5,0.18,18,3.428765e-07,6.882715e-13,1.626028e-08
163,10000,100,2.0,0.18,18,1.351488e-05,9.160629e-10,5.932131e-07
164,10000,100,2.5,0.18,18,0.0001679664,1.216315e-07,6.835513e-06
165,10000,100,3.0,0.18,18,0.001007602,3.766843e-06,3.803968e-05
166,10000,100,3.5,0.18,18,0.003670518,4.308665e-05,0.0001286529
167,10000,100,4.0,0.18,18,0.009299568,0.0002383827,0.0003026115
168,10000,100,4.5,0.18,18,0.01789165,0.0007630372,0.0005414034
169,10000,100,5.0,0.18,18,0.02776762,0.001593334,0.0007823508
170,10000,100,0.5,0.19,19,1.339151e-15,1.531599e-29,7.670447e-17
171,10000,100,1.0,0.19,19,1.518191e-10,1.682272e-19,8.038891e-12
172,10000,100,1.5,0.19,19,7.308467e-08,3.349775e-14,3.587202e-09
173,10000,100,2.0,0.19,19,3.776027e-06,7.718439e-11,1.721919e-07
174,10000,100,2.5,0.19,19,5.765303e-05,1.558753e-08,2.447015e-06
175,10000,100,3.0,0.19,19,0.0004081043,6.783957e-07,1.61432e-05
176,10000,100,3.5,0.19,19,0.001704455,1.031321e-05,6.294266e-05
177,10000,100,4.0,0.19,19,0.00484102,7.249922e-05,0.000166884
178,10000,100,4.5,0.19,19,0.01027773,0.0002853369,0.0003310755
179,10000,100,5.0,0.19,19,0.01736171,0.000712048,0.0005230013
180,10000,100,0.5,0.1,10,2.078572e-06,2.189356e-11,9.17078e-08
181,10000,100,1.0,0.1,10,0.0005511543,1.153666e-06,2.105175e-05
