n_MC,n,T,mu,mu_n,Estimate,Variance,IS_Estimate,IS_Variance
10000,100,2.0,0.09,9,0.185274,0.1509475,0.07813546,0.01089733
10000,100,2.5,0.09,9,0.374968,0.234367,0.1658064,0.03522104
10000,100,3.0,0.09,9,0.573488,0.2445995,0.2511633,0.06160914
10000,100,3.5,0.09,9,0.737086,0.1937902,0.3047456,0.08387611
10000,100,4.0,0.09,9,0.851758,0.1262663,0.3172613,0.1177921
10000,100,4.5,0.09,9,0.92213,0.07180626,0.2957162,0.180618
10000,100,5.0,0.09,9,0.961746,0.03679063,0.2533907,0.2684553
10000,100,0.5,0.11,11,0.0,0.0,2.650635e-07,3.834789e-13
10000,100,1.0,0.11,11,0.000552,0.0005516953,0.000137095,7.884542e-08
10000,100,1.5,0.11,11,0.009274,0.009187993,0.003031964,2.965345e-05
10000,100,2.0,0.11,11,0.05119,0.04856958,0.01863409,0.0008586105
10000,100,2.5,0.11,11,0.151092,0.1282632,0.05726937,0.006188987
10000,100,3.0,0.11,11,0.30535,0.2121114,0.1145015,0.018946
10000,100,3.5,0.11,11,0.483302,0.2497212,0.1714149,0.03340078
10000,100,4.0,0.11,11,0.6482,0.2280368,0.2091848,0.04261473
10000,100,4.5,0.11,11,0.778978,0.1721713,0.2198395,0.04835875
10000,100,5.0,0.11,11,0.871078,0.1123011,0.2063047,0.05625242
10000,100,0.5,0.12,12,0.0,0.0,3.052242e-08,5.515162e-15
10000,100,1.0,0.12,12,0.000142,0.0001419798,3.084211e-05,4.41162e-09
10000,100,1.5,0.12,12,0.003172,0.003161938,0.0009975674,3.621375e-06
10000,100,2.0,0.12,12,0.023574,0.02301827,0.007952829,0.0001802175
10000,100,2.5,0.12,12,0.085276,0.078004,0.02966044,0.0019558
10000,100,3.0,0.12,12,0.200822,0.1604925,0.06889404,0.008210998
10000,100,3.5,0.12,12,0.358076,0.2298576,0.1162386,0.01833862
10000,100,4.0,0.12,12,0.526462,0.2492998,0.1561392,0.02695765
10000,100,4.5,0.12,12,0.677136,0.2186228,0.177472,0.03134852
10000,100,5.0,0.12,12,0.796154,0.1622928,0.1777443,0.03418168
10000,100,0.5,0.13,13,0.0,0.0,3.30257e-09,6.865024e-17
10000,100,1.0,0.13,13,3e-05,2.99991e-05,6.524238e-06,2.143313e-10
